energy_PTB7	beta_PTB7	delta_PTB7
0	0	2.062712365948487e+19
0.00022351742	0.001141196558881182	2.046597440957919e+19
0.00044703484	0.002282393117762364	2.030482515967351e+19
0.00089406967	0.004564786235524729	1.998252665986216e+19
0.0017881393	0.009129572471049457	1.933792966023945e+19
0.0035762787	0.01825914494209891	1.804873566099402e+19
0.0071525574	0.03651828988419783	1.547034766250317e+19
0.014305115	0.07303657976839566	1.031357166552148e+19
0.028610229	0.1460731595367913	19671558094848
0.057220459	0.1460732988431447	9683.795419413422
0.11444092	0.1460732988431447	2420.468641452074
0.22888184	0.1460732988431447	604.6914843061019
0.45776367	0.1460732988431447	150.7958033603732
0.91552734	0.1460732988431447	37.36995375302035
1.8310547	0.1460732988431447	9.060598009066245
3.6621094	0.1460732988431447	2.026203585835671
7.3242188	0.1460732988431447	0.2831418307500649
7.3260069	0.1460732988431447	0.2828492762111199
7.327795	0.1460732988431447	0.2825567620616568
7.3313713	0.1460732988431447	0.2819717337627304
7.3385239	0.1460732988431447	0.2808016771648776
7.352829	0.1460732988431448	0.278461563969172
7.3814392	0.1460732988431448	0.2737069540471216
7.4100494	0.1460732988431448	0.2691155422762421
7.4386597	0.1460732988431447	0.264448120568566
7.4672699	0.1460732988431448	0.2599418172265497
7.4958801	0.1460732988431447	0.255357823628565
7.5244904	0.1460732988431447	0.2509329642627786
7.5531006	0.1460732988431447	0.2464287152512479
7.5817108	0.1460732988431447	0.2420817086129257
7.610321	0.1460732988431447	0.2376535881090784
7.6389313	0.1460732988431447	0.2333809071038931
7.6675415	0.1460732988431448	0.229025357164533
7.6961517	0.1460732988431448	0.224823529601983
7.724762	0.1460732988431447	0.220537040856939
7.7533722	0.1460732988431448	0.2164026399129898
7.7819824	0.1460732988431448	0.2121817416568992
7.8105927	0.1460732988431448	0.2081113759527453
7.8392029	0.1460732988431448	0.2039526257862407
7.8678131	0.1460732988431447	0.1999429289718445
7.8964233	0.1460732988431447	0.1958429018715402
7.9250336	0.1460732988431447	0.1918905215849745
7.9536438	0.1460732988431448	0.1878457982620386
7.982254	0.1460732988431447	0.183947384313954
8.0108643	0.1460732988431448	0.1799545386970894
8.0394745	0.1460732988431448	0.1761067303025096
8.0680847	0.1460732988431448	0.1721623159512102
8.0966949	0.1460732988431447	0.1683617277972857
8.1253052	0.1460732988431447	0.1644622630141206
8.1539154	0.1460732988431448	0.1607054699102413
8.1825256	0.1460732988431448	0.1568474212743994
8.2111359	0.1460732988431448	0.1531309410783211
8.2397461	0.1460732988431447	0.1493107050643652
8.2683563	0.1460732988431448	0.1456309795108825
8.2969666	0.1460732988431447	0.1418448617827509
8.3255768	0.1460732988431447	0.1381982347569879
8.354187	0.1460732988431447	0.1344424266338862
8.3827972	0.1460732988431447	0.1308251193211764
8.4114075	0.1460732988431447	0.1270956707910737
8.4400177	0.1460732988431448	0.1235037529963455
8.4686279	0.1460732988431448	0.1197965414988614
8.4972382	0.1460732988431447	0.1162258982445029
8.5258484	0.1460732988431447	0.1125365922425278
8.5544586	0.1460732988431448	0.1089828845143029
8.5830688	0.1460732988431448	0.1053069006095538
8.6116791	0.1460732988431447	0.10176551880216
8.6402893	0.1460732988431447	0.09809797079905981
8.6688995	0.1460732988431447	0.09456397898754464
8.6975098	0.1460732988431447	0.09089961684070066
8.72612	0.1460732988431448	0.0873676854280066
8.7547302	0.1460732988431447	0.0837008213730449
8.7833405	0.1460732988431447	0.0801651448751583
8.8119507	0.1460732988431447	0.07648956317234733
8.8405609	0.1460732988431447	0.0729437588074123
8.8691711	0.1460732988431447	0.06925260431895258
8.8977814	0.1460732988431447	0.0656895855252066
8.9263916	0.1460732988431447	0.06197522464560998
8.9550018	0.1460732988431448	0.05838704144823129
8.9836121	0.1460732988431447	0.05464088647337142
9.0122223	0.1460732988431447	0.0510185214134548
9.0408325	0.1460732988431447	0.04723080589311004
