beta_P3HT	delta_P3HT	beta_P3HTpara	delta_P3HTpara	beta_P3HTperp	delta_P3HTperp	energy_P3HT	beta_pcbm	beta_peg	beta_pmma	beta_ps	beta_si	beta_vac	delta_pcbm	delta_peg	delta_pmma	delta_ps	delta_si	delta_vac	energy_pcbm	energy_pmma	energy_ps	energy_si	energy_vac	energy_peg	energy	beta_pbttt1	delta_pbttt1	energy_pbttt1	beta_pbttt	delta_pbttt	energy_pbttt	beta_pbtttp	delta_pbtttp	energy_pbtttp	beta_n2200	delta_n2200	energy_n2200	energy_p3htpara	energy_p3htperp
0.40250741141267	-2.737756256170149	0.3459391469227714	-0.5574719212925544	0.3459391469227714	-0.5496892700317287	10	0.4068168334118294	0.2692726666100267	0.3404382311176922	0.2701908951152334	1.380094217737202	0	-3.023411804757095	-0.04503263200803839	0.2615235710814494	-0.08012243218064355	0.6939838483879083	0	10	10	10	10	10	10	10	0.4604409337043762	-0.5596815347671509	10	0.4604409337043762	-0.5596815347671509	10	0.4604409337043762	-0.3133428990840912	10	0.2622528970241547	-0.3909485638141632	10	10	10
0.4100386863970382	-1.391028119695965	0.3524119788991796	-0.1802453831184136	0.3524119788991796	-0.172705959353672	10.1617	0.4153044573764327	0.2696131331710224	0.3386665070770051	0.2761356362883054	1.341275345183218	0	-1.654300992604873	-0.04420952949839562	0.2605782108657096	-0.1089835427672745	0.7010995200497433	0	10.1617	10.1617	10.1617	10.1617	10.1617	10.1617	10.1617	0.4642326557747977	-0.4625628304766054	10.1617	0.4642326557747977	-0.4625628304766054	10.1617	0.4642326557747977	-0.2946006758754013	10.1617	0.2660458937190501	-0.1156976068226365	10.1617	10.1617	10.1617
0.4177130906098192	-1.180327049667249	0.3590078247674385	-0.1209873998118995	0.3590078247674385	-0.1136851154055141	10.3261	0.4239347611288707	0.2706389822179439	0.3368651995180134	0.2822059199403516	1.301822006898294	0	-1.433870404711992	-0.0418135666435915	0.2596170654144566	-0.0683121710524382	0.7077266989652559	0	10.3261	10.3261	10.3261	10.3261	10.3261	10.3261	10.3261	0.4734345805930764	-0.2552743297564891	10.3261	0.4734345805930764	-0.2552743297564891	10.3261	0.4734345805930764	-0.2547333482924637	10.3261	0.2707355244581128	-0.04788967616956916	10.3261	10.3261	10.3261
0.4255445884622582	-1.049338620450368	0.3657386863848478	-0.09198639526537816	0.3657386863848478	-0.0849155084324331	10.4931	0.4327759394451822	0.272349085116259	0.3350354041265802	0.2884138328416175	1.261744745572013	0	-1.294470281298974	-0.03803245149310942	0.2586407193660427	-0.05098381564111	0.713738288164198	0	10.4931	10.4931	10.4931	10.4931	10.4931	10.4931	10.4931	0.483003578667385	-0.1657475452885853	10.4931	0.483003578667385	-0.1657475452885853	10.4931	0.483003578667385	-0.2110634517354061	10.4931	0.2755516467638631	-0.02815721816025408	10.4931	10.4931	10.4931
0.4335311239931909	-0.9527422982879028	0.3726027967343753	-0.07647602735420331	0.3726027967343753	-0.06962856715839219	10.6628	0.4418250321217048	0.2747036940674428	0.3331760252168424	0.2947568034992284	1.227515762863673	0	-1.190306377553124	-0.03314380661878791	0.2576485880821155	-0.04286424533900213	0.7191974779418123	0	10.6628	10.6628	10.6628	10.6628	10.6628	10.6628	10.6628	0.491737085470037	-0.1832735768954504	10.6628	0.491737085470037	-0.1832735768954504	10.6628	0.491737085470037	-0.1813126092071365	10.6628	0.2805187437437892	-0.0190740432760064	10.6628	10.6628	10.6628
0.4420645968225685	-0.8761064716529731	0.3799369779871448	-0.06789834425209343	0.3799369779871448	-0.061266678566098	10.8353	0.4516656719199583	0.2776053347272864	0.3312859671029368	0.3016324746525313	1.193016385908394	0	-1.106826140890884	-0.02748576813260322	0.2566400869243227	-0.03967206469783984	0.7240380336909927	0	10.8353	10.8353	10.8353	10.8353	10.8353	10.8353	10.8353	0.5015691260337011	-0.1624872605020531	10.8353	0.5015691260337011	-0.1624872605020531	10.8353	0.5015691260337011	-0.1704249434096911	10.8353	0.2859350764727691	-0.01520251966791703	10.8353	10.8353	10.8353
0.4519147650208112	-0.8120710906672328	0.3884028066574455	-0.06288406821275119	0.3884028066574455	-0.05646078698326797	11.0106	0.4634355989820618	0.2809181448606909	0.3293652297848635	0.3098148292295432	1.157956173004666	0	-1.036172163827611	-0.02142765197242608	0.2556152158926642	-0.03878002379698522	0.7282043826995334	0	11.0106	11.0106	11.0106	11.0106	11.0106	11.0106	11.0106	0.5122784484536747	-0.1524241003300643	11.0106	0.5122784484536747	-0.1524241003300643	11.0106	0.5122784484536747	-0.160418349419514	11.0106	0.2922675557620651	-0.01354067544405002	11.0106	11.0106	11.0106
0.4620181113828731	-0.7567766070168277	0.397086231912375	-0.05952579129403261	0.397086231912375	-0.05330445818947849	11.1886	0.475552443200097	0.2845578345961428	0.3274149089484856	0.3182275191231039	1.122362567306722	0	-0.9738928750280944	-0.01533866403862792	0.2545745596254925	-0.03872185433751976	0.7317637432693278	0	11.1886	11.1886	11.1886	11.1886	11.1886	11.1886	11.1886	0.5238386686852952	-0.1452491772191485	11.1886	0.5238386686852952	-0.1452491772191485	11.1886	0.5238386686852952	-0.153374033161225	11.1886	0.2988844338828929	-0.01337952759752256	11.1886	11.1886	11.1886
0.4731132760376883	-0.7083417971097545	0.4066220856304055	-0.05674411200616866	0.4066220856304055	-0.05072088799631733	11.3696	0.4880010667197793	0.2885151766169626	0.3254317175362137	0.3268613136890947	1.086158167315133	0	-0.9180955459518401	-0.009555210324118369	0.2535163642077504	-0.03915147373398961	0.7349073466147894	0	11.3696	11.3696	11.3696	11.3696	11.3696	11.3696	11.3696	0.5366029591056232	-0.1400053834415328	11.3696	0.5366029591056232	-0.1400053834415328	11.3696	0.5366029591056232	-0.1478328020239327	11.3696	0.3059163260352769	-0.01389694285539939	11.3696	11.3696	11.3696
0.486077550138846	-0.6640553513570833	0.4177643647434463	-0.05477074929524615	0.4177643647434463	-0.04893619176219915	11.5535	0.5008065922699739	0.2928344055701664	0.3234167512339109	0.3357326059149869	1.049372137342791	0	-0.8672608953649416	-0.00435501422520693	0.2524412142777904	-0.03968233595476597	0.7378502290125767	0	11.5535	11.5535	11.5535	11.5535	11.5535	11.5535	11.5535	0.5509021685042016	-0.1347957163913812	11.5535	0.5509021685042016	-0.1347957163913812	11.5535	0.5509021685042016	-0.1423253119856863	11.5535	0.3135109572696268	-0.01461278226795207	11.5535	11.5535	11.5535
